Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1908,-.44,-.32,-.54,-.44,-.37,-.38,-.34,-.45,-.35,-.43,-.51,-.48,-.42,-.42,-.40,-.45,-.39,-.43
1909,-.72,-.45,-.54,-.58,-.54,-.51,-.44,-.33,-.38,-.39,-.31,-.55,-.48,-.47,-.55,-.55,-.43,-.36
1910,-.41,-.40,-.50,-.42,-.33,-.38,-.33,-.36,-.38,-.40,-.54,-.66,-.43,-.42,-.46,-.42,-.36,-.44
1911,-.61,-.57,-.60,-.53,-.51,-.50,-.41,-.43,-.40,-.26,-.20,-.21,-.44,-.47,-.61,-.55,-.45,-.29
1912,-.24,-.14,-.37,-.17,-.20,-.23,-.42,-.54,-.58,-.57,-.38,-.42,-.36,-.34,-.19,-.25,-.40,-.51
1913,-.40,-.44,-.42,-.39,-.43,-.45,-.36,-.33,-.34,-.32,-.19,-.02,-.34,-.37,-.42,-.41,-.38,-.28
1914,.05,-.09,-.23,-.29,-.20,-.25,-.23,-.15,-.16,-.03,-.15,-.03,-.15,-.15,-.02,-.24,-.21,-.11
1915,-.20,-.03,-.09,.07,-.06,-.22,-.12,-.22,-.20,-.24,-.12,-.21,-.14,-.12,-.09,-.03,-.18,-.19
1916,-.12,-.14,-.28,-.30,-.34,-.49,-.37,-.28,-.36,-.33,-.46,-.81,-.36,-.31,-.16,-.30,-.38,-.38
1917,-.57,-.63,-.63,-.55,-.55,-.43,-.25,-.22,-.22,-.44,-.33,-.67,-.46,-.47,-.67,-.57,-.30,-.33
1918,-.47,-.33,-.24,-.44,-.42,-.36,-.31,-.31,-.17,-.06,-.11,-.29,-.29,-.32,-.49,-.37,-.33,-.11
1919,-.20,-.24,-.21,-.12,-.28,-.36,-.29,-.33,-.25,-.20,-.41,-.42,-.28,-.27,-.24,-.20,-.33,-.29
1920,-.24,-.26,-.12,-.24,-.26,-.36,-.30,-.26,-.22,-.26,-.26,-.46,-.27,-.27,-.31,-.21,-.30,-.25
1921,-.04,-.17,-.23,-.30,-.30,-.27,-.14,-.26,-.19,-.03,-.13,-.17,-.19,-.21,-.22,-.27,-.22,-.12
1922,-.33,-.44,-.15,-.23,-.33,-.31,-.27,-.32,-.36,-.33,-.14,-.19,-.28,-.28,-.31,-.24,-.30,-.28
1923,-.27,-.39,-.34,-.41,-.33,-.29,-.30,-.33,-.31,-.13,-.02,-.04,-.26,-.28,-.28,-.36,-.31,-.16
1924,-.23,-.24,-.08,-.31,-.18,-.26,-.29,-.36,-.32,-.35,-.21,-.43,-.27,-.24,-.17,-.19,-.30,-.29
1925,-.38,-.40,-.28,-.26,-.29,-.32,-.26,-.20,-.20,-.17,.05,.06,-.22,-.26,-.40,-.27,-.26,-.11
1926,.20,.03,.11,-.12,-.23,-.26,-.27,-.13,-.14,-.11,-.06,-.29,-.11,-.08,.10,-.08,-.22,-.11
1927,-.27,-.18,-.38,-.30,-.25,-.27,-.18,-.24,-.13,-.01,-.05,-.33,-.22,-.21,-.25,-.31,-.23,-.06
1928,-.02,-.09,-.25,-.28,-.30,-.39,-.19,-.22,-.21,-.19,-.09,-.16,-.20,-.21,-.15,-.27,-.27,-.16
1929,-.45,-.58,-.32,-.41,-.38,-.44,-.37,-.32,-.25,-.14,-.11,-.54,-.36,-.33,-.40,-.37,-.38,-.17
1930,-.29,-.26,-.11,-.25,-.23,-.22,-.21,-.15,-.16,-.12,.18,-.05,-.16,-.20,-.37,-.20,-.19,-.03
1931,-.10,-.21,-.10,-.22,-.19,-.08,-.03,-.04,-.07,.05,-.06,-.05,-.09,-.09,-.12,-.17,-.05,-.02
1932,.16,-.17,-.18,-.06,-.17,-.28,-.24,-.22,-.10,-.08,-.27,-.25,-.16,-.14,-.02,-.13,-.25,-.15
1933,-.23,-.29,-.29,-.24,-.29,-.34,-.21,-.23,-.29,-.25,-.31,-.44,-.28,-.27,-.26,-.27,-.26,-.28
1934,-.21,-.02,-.29,-.31,-.09,-.15,-.10,-.12,-.15,-.06,.04,-.02,-.12,-.16,-.22,-.23,-.12,-.06
1935,-.33,.14,-.14,-.37,-.28,-.26,-.21,-.22,-.21,-.05,-.26,-.16,-.20,-.18,-.07,-.26,-.23,-.17
1936,-.27,-.38,-.21,-.20,-.16,-.21,-.09,-.13,-.09,-.03,.02,.00,-.15,-.16,-.27,-.19,-.14,-.03
1937,-.07,.03,-.20,-.16,-.05,-.05,-.03,.02,.09,.09,.09,-.07,-.03,-.02,-.01,-.14,-.02,.09
1938,.09,.04,.10,.06,-.09,-.17,-.09,-.05,.01,.15,.08,-.12,.00,.00,.02,.02,-.10,.08
1939,-.05,-.06,-.17,-.09,-.04,-.07,-.06,-.06,-.07,-.03,.07,.44,-.02,-.06,-.08,-.10,-.06,-.01
1940,.00,.08,.09,.17,.11,.12,.13,.07,.15,.11,.17,.32,.13,.14,.17,.13,.10,.14
1941,.18,.31,.10,.16,.17,.13,.22,.15,.02,.35,.23,.22,.19,.19,.27,.14,.16,.20
1942,.30,.02,.05,.09,.11,.05,.01,-.04,-.03,.02,.10,.13,.07,.07,.18,.09,.01,.03
1943,-.01,.17,-.03,.11,.07,-.05,.09,.01,.05,.23,.20,.24,.09,.08,.10,.05,.01,.16
1944,.36,.25,.26,.19,.19,.16,.18,.18,.28,.26,.11,.04,.21,.22,.28,.22,.17,.22
1945,.10,.00,.06,.19,.06,.01,.04,.26,.20,.18,.07,-.07,.09,.10,.05,.10,.10,.15
1946,.15,.03,.01,.05,-.07,-.21,-.12,-.20,-.08,-.08,-.05,-.31,-.07,-.05,.04,.00,-.18,-.07
1947,-.06,-.08,.06,.06,-.01,-.01,-.04,-.07,-.12,.07,.03,-.13,-.02,-.04,-.15,.04,-.04,-.01
1948,.07,-.14,-.24,-.12,.00,-.05,-.11,-.12,-.14,-.05,-.12,-.24,-.11,-.10,-.07,-.12,-.09,-.11
1949,.07,-.14,-.02,-.11,-.10,-.27,-.13,-.13,-.14,-.06,-.10,-.18,-.11,-.11,-.10,-.08,-.18,-.10
1950,-.26,-.27,-.08,-.21,-.11,-.05,-.09,-.16,-.11,-.20,-.34,-.21,-.17,-.17,-.24,-.13,-.10,-.22
1951,-.34,-.42,-.20,-.14,.00,-.07,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.32,-.12,-.01,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.03,.13,-.02,.02,-.02
1953,.07,.15,.11,.19,.11,.12,.01,.05,.04,.08,-.03,.05,.08,.07,.07,.14,.06,.03
1954,-.24,-.10,-.15,-.14,-.20,-.19,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.14,-.11,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.08,-.14
1956,-.13,-.24,-.21,-.28,-.29,-.16,-.09,-.26,-.19,-.23,-.15,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.05,.00,.09,.16,.02,.15,.09,.01,.08,.15,.05,.03,-.06,.01,.11,.06
1958,.39,.22,.08,.01,.06,-.09,.05,-.05,-.02,.04,.02,.01,.06,.07,.25,.05,-.03,.01
1959,.08,.07,.18,.16,.04,.03,.03,-.01,-.06,-.07,-.08,.00,.03,.03,.05,.12,.02,-.07
1960,.00,.13,-.35,-.15,-.08,-.04,-.04,.02,.07,.06,-.11,.19,-.03,-.04,.04,-.19,-.02,.00
1961,.07,.19,.09,.13,.12,.11,.01,.01,.09,.00,.03,-.16,.06,.09,.15,.11,.04,.04
1962,.05,.15,.10,.05,-.06,.03,.02,-.01,.00,.01,.06,-.03,.03,.02,.01,.03,.01,.03
1963,-.03,.18,-.14,-.07,-.06,.05,.06,.22,.18,.15,.15,-.03,.05,.05,.04,-.09,.11,.16
1964,-.09,-.10,-.21,-.32,-.25,-.04,-.04,-.22,-.29,-.32,-.21,-.30,-.20,-.18,-.07,-.26,-.10,-.27
1965,-.08,-.17,-.13,-.19,-.12,-.08,-.13,-.04,-.15,-.05,-.06,-.08,-.11,-.12,-.18,-.14,-.08,-.09
1966,-.19,-.04,.04,-.13,-.12,.01,.08,-.08,-.03,-.16,-.01,-.02,-.06,-.06,-.10,-.07,.00,-.07
1967,-.07,-.20,.05,-.05,.12,-.08,.02,.01,-.06,.09,-.05,-.05,-.02,-.02,-.10,.04,-.02,-.01
1968,-.25,-.14,.20,-.06,-.14,-.09,-.13,-.09,-.19,.09,-.05,-.14,-.08,-.07,-.15,.00,-.10,-.05
1969,-.11,-.18,.01,.17,.18,.03,-.04,.03,.08,.09,.12,.24,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.04,-.03,.01,-.10,.12,.03,.02,-.12,.03,.06,.18,.03,-.04,.05
1971,-.02,-.16,-.18,-.07,-.05,-.17,-.08,-.01,-.06,-.04,-.07,-.09,-.08,-.09,-.10,-.10,-.08,-.06
1972,-.22,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.18,.01,-.01,-.16,.00,.07,.04
1973,.29,.33,.29,.27,.23,.19,.13,.05,.09,.10,.05,-.07,.16,.18,.27,.26,.12,.08
1974,-.10,-.27,-.05,-.11,-.04,-.05,-.03,.10,-.07,-.06,-.08,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.13,.04,.16,-.01,-.01,-.17,-.02,-.11,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.21,-.07,-.21,-.12,-.10,-.12,-.06,-.24,-.06,.11,-.10,-.12,-.09,-.16,-.11,-.12
1977,.18,.22,.24,.26,.33,.27,.20,.18,.02,.03,.16,.03,.18,.18,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.13,.06,.03,.14,.08,.07,.06,.06,.15,-.04,.08
1979,.08,-.10,.19,.15,.03,.14,.04,.17,.25,.26,.28,.48,.16,.13,.02,.12,.11,.26
1980,.30,.39,.29,.30,.35,.20,.22,.18,.20,.13,.30,.22,.26,.28,.39,.32,.20,.21
1981,.53,.42,.48,.32,.25,.29,.32,.35,.15,.12,.23,.41,.32,.31,.39,.35,.32,.17
1982,.05,.16,.03,.15,.18,.06,.15,.04,.14,.13,.18,.43,.14,.14,.21,.12,.08,.15
1983,.53,.43,.42,.28,.34,.22,.18,.35,.37,.17,.30,.16,.31,.34,.46,.34,.25,.28
1984,.31,.14,.26,.06,.33,.02,.19,.19,.21,.14,.07,-.04,.16,.17,.21,.22,.14,.14
1985,.22,-.04,.17,.12,.14,.15,.04,.17,.13,.12,.05,.14,.12,.10,.05,.15,.12,.10
1986,.26,.37,.30,.22,.21,.12,.11,.16,.03,.15,.10,.13,.18,.18,.26,.25,.13,.10
1987,.32,.43,.18,.24,.25,.35,.40,.25,.35,.33,.29,.46,.32,.29,.29,.23,.33,.32
